A,R,S,H,B,W,F
7157,554,41663,0,20968,24,216
12982,1429,0,0,0,136,0
6096,532,6144,640,3050,161,0
7728,40,78590,0,27433,10,2889
12515,397,0,0,0,21,3191
215,0,1039,103,581,0,92
14328,1217,51587,106,28095,262,4126
266,42,453,64,172,0,36
16757,510,97684,16448,12290,151,6829
7731,846,13085,1221,0,78,1170
13526,1839,39311,8165,6280,111,4510
0,0,0,0,0,0,0
12360,0,107435,10928,34251,0,3431
13694,2405,75425,5596,4022,452,5863
2465,0,0,0,0,0,0
10396,1810,537,0,215,283,845
4806,369,6898,206,3079,112,0
4578,248,32830,2245,19633,43,2205
0,0,0,0,0,0,0
4143,0,16940,2324,7108,0,1511
13232,3019,38643,3735,14648,147,0
9958,610,35761,1505,8511,158,1106
0,0,0,0,0,0,0
3381,181,6708,1051,1129,43,241
908,0,0,0,0,0,0
9848,552,58300,9021,10092,7,6372
4697,0,27973,0,20035,0,0
5528,602,0,0,0,41,37
4440,110,24719,10457,9673,12,0
0,0,0,0,0,0,0
5867,66,31410,253,15187,8,1488
9612,630,5206,189,1746,30,101
8551,1362,19748,0,14519,0,1670
19305,2903,36866,2903,3406,413,1587
2928,0,10930,494,3029,0,339
19401,2295,0,0,0,339,0
8101,159,15710,1625,3906,39,691
5879,159,28872,2367,12395,29,1897
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6061,0,8860,1088,774,2,143
9490,321,61488,10115,17528,35,6513
14329,0,68995,6689,0,0,2819
3808,0,30833,0,17675,0,3400
27046,4714,159042,0,39799,0,0
12922,1183,0,0,0,188,0
12961,1029,84569,11984,14017,35,10223
251,19,158,29,64,0,67
0,0,0,0,0,0,0
18154,498,44949,4269,5272,22,4083
16388,2028,73326,7140,41672,514,0
9142,665,48837,8786,7882,151,161
1665,53,12127,799,7721,7,1004
8670,241,0,0,0,34,0
4389,476,0,0,0,20,16
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1315,22,0,3,755,1,189
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
7124,0,3072,122,0,0,0
20319,0,0,0,0,81,0
8546,612,0,0,90,58,136
11650,2582,62084,1609,22550,0,5564
20289,0,41334,2650,5062,0,396
1835,293,12239,2402,5067,6,654
10682,1310,4289,212,1251,177,11
16229,164,154372,0,20439,26,432
9078,1228,38640,7675,6648,77,853
7795,803,26053,0,8781,138,0
9475,461,2097,213,182,37,227
11420,2094,42589,6618,8970,470,3019
11626,0,20383,0,2594,0,0
18489,581,0,0,6690,111,0
14733,2101,23195,0,5615,54,1353
0,0,0,0,0,0,0
0,0,0,0,0,0,0
18034,0,64286,10819,40333,0,12235
8060,17,66613,3169,16710,0,5314
10106,933,66590,2831,27122,0,6446
10361,0,87403,12911,5207,0,10952
16090,478,13387,846,3962,161,0
1034,185,2578,250,737,1,576
15611,2297,9920,1989,3522,211,3372
5504,78,17392,0,0,0,0
5637,196,39695,7120,19536,9,6242
14577,2829,33003,2757,18697,337,2909
9381,918,28185,0,10007,104,1256
8166,1702,49146,6325,8457,50,5459
26381,1365,70081,4522,20431,122,0
1977,0,17277,2821,0,0,0
8880,2531,27141,3529,7706,951,0
21474,4181,30401,1869,0,1227,1002
2328,434,6150,81,18,68,332
9299,224,36368,1784,710,57,1045
3082,144,2539,212,0,8,53
8883,502,78685,3138,16720,0,904
4383,511,26114,276,0,0,425
7551,0,0,0,0,0,0
16040,2486,66260,2282,1921,237,1608
0,0,0,0,0,0,0
9325,32,0,160,0,6,0
23701,3743,168473,19057,58926,325,11477
10013,212,49128,7149,0,74,1876
21728,2854,57822,0,0,629,1039
0,0,0,0,0,0,0
0,0,0,0,0,0,0
7647,323,35023,9045,10176,0,0
8113,1251,25300,3707,6627,302,3624
11153,1760,0,0,0,428,0
12914,932,0,0,0,289,0
15886,2766,59633,0,15123,235,397
7855,1614,33405,0,1053,268,15
3139,415,10974,1142,6854,76,1251
16477,0,37209,3903,5041,0,3570
14403,0,0,0,0,3,383
7180,0,17435,4194,4675,0,2974
14277,2833,0,0,0,258,894
2930,214,1495,204,605,4,225
6023,157,4585,0,58,12,0
3476,417,18300,481,8599,25,2359
14334,272,13105,1598,2111,8,1116
0,0,0,0,0,0,0
14747,2336,12430,210,6442,0,676
0,0,0,0,0,0,0
14584,208,53586,0,10623,49,0
13972,2248,29073,3305,0,247,1720
7283,85,35157,4278,6628,19,0
8549,389,136,16,37,65,495
12510,2502,22268,3760,4056,554,4873
766,0,6212,1188,0,0,335
11325,0,45038,2978,11955,0,0
11563,0,19069,2556,10910,0,1158
10066,1326,40887,3924,12130,101,914
4585,637,13479,3379,3448,147,5157
9008,608,55943,10918,0,195,2155
3270,150,0,3,0,0,1
9409,532,1054,94,542,171,329
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11324,1030,0,0,0,57,1429
2016,79,6620,319,469,0,0
11895,1582,79661,7196,18022,204,4982
6464,449,21633,1110,4947,0,1752
16161,3784,0,2442,0,441,1629
13462,844,51688,7899,8193,82,6140
9443,0,31045,3386,0,0,214
10795,1769,126099,8042,26042,170,16419
10266,1006,0,267,0,44,184
7407,777,15231,267,1640,231,734
1888,0,2624,115,1127,0,25
10572,1777,67431,3001,7490,182,2535
275,0,76,17,34,0,0
19700,576,92121,0,65261,179,2766
11527,0,66430,12608,11484,0,7471
0,0,0,0,0,0,0
2557,155,3366,440,1630,2,0
3060,250,0,0,0,28,0
13192,620,7481,1343,3695,36,1713
10378,150,52932,3090,22936,12,4003
4827,409,20334,2508,8542,20,224
2490,34,2825,0,625,2,23
0,0,0,0,0,0,0
0,0,0,0,0,0,0
4172,918,25225,0,10192,0,0
14146,2301,37773,79,7324,60,1101
0,0,0,0,0,0,0
6432,846,0,0,0,196,166
13692,0,6259,0,2223,0,2
0,0,0,0,0,0,0
2096,127,1899,0,900,15,234
2476,346,7223,1130,152,92,270
14280,2394,101984,10886,0,301,4790
8435,548,21342,0,0,169,0
5160,438,22929,1845,604,0,1278
17587,271,95145,22170,0,22,14995
5537,713,18097,2683,159,240,0
5658,98,14033,2656,4403,23,2179
21638,1408,168761,0,17418,142,0
7896,0,61676,9860,14889,5,5121
14640,1754,3518,424,887,208,2327
15577,828,43612,6117,7089,120,2129
13361,1582,0,0,103,239,769
14246,0,34941,632,0,0,297
0,0,0,0,0,0,0
17215,193,23049,1416,9931,59,3845
27715,1086,116234,2042,0,280,433
12006,149,34169,1837,14984,34,4777
9206,542,16429,2558,5534,68,810
3004,608,15474,606,3333,63,1361
7666,1278,49298,5896,0,188,1275
1617,276,5170,570,2846,38,424
5463,881,0,0,7550,47,0
281,43,1354,0,85,7,0
3592,343,9882,1216,6280,0,1261
0,0,0,0,0,0,0
5308,1055,11668,347,4787,53,2927
13061,1961,75391,17225,9763,158,9323
0,0,0,0,0,0,0
0,0,0,0,0,0,0
13329,0,41662,0,9350,0,0
1731,0,3035,120,39,0,21
0,0,0,0,0,0,0
0,0,0,0,0,0,0
11029,2789,35668,1730,1856,464,251
0,0,0,0,0,0,0
0,0,0,0,0,0,0
12974,0,0,0,1099,0,0
1722,162,13930,3976,1043,41,1853
7995,644,33846,5959,21748,105,202
10318,1191,53326,2007,23094,51,2454
6882,602,34996,1917,0,56,885
22208,2664,59968,0,23620,0,0
0,0,0,0,0,0,0
5354,917,23405,2170,3461,184,1480
2726,91,295,0,224,12,42
8862,418,57895,6061,6571,0,0
12104,2451,0,0,0,894,0
17402,2134,26305,3450,12370,239,5245
3865,364,5097,35,1164,31,86
8727,621,61711,8443,0,151,1904
1166,0,9433,405,5445,0,723
15549,1436,98067,15534,44977,292,0
15952,3478,77212,2136,12140,0,379
13417,3585,40437,0,13574,536,5965
11689,797,18722,3637,2672,214,748
8115,175,34080,0,23666,0,3486
0,0,0,0,0,0,0
6907,206,9657,959,7409,0,908
8233,644,4735,0,1992,47,160
11518,2458,60949,0,16734,68,3607
7482,500,13302,1490,336,125,227
14224,2271,63150,2882,12880,0,2646
14846,927,68074,2796,23665,179,3656
9065,1403,64385,3464,42563,362,588
13513,3305,27402,3168,5682,624,2068
0,0,0,0,0,0,0
0,0,0,0,0,0,0
13360,1368,75503,1974,0,0,0
5299,104,22355,2594,2818,12,285
14431,2534,132134,12610,49076,543,11792
1570,0,3064,318,775,0,29
0,0,0,0,0,0,0
4030,10,10973,1239,727,0,182
9393,1028,44559,5791,3541,6,1357
0,0,0,0,0,0,0
12799,86,75123,17421,21141,7,15260
15258,0,35078,0,0,0,0
13383,1079,80849,5009,18363,34,3707
6892,1211,37175,4971,11397,44,4494
0,0,0,0,0,0,0
11400,2574,36671,5267,3922,275,7104
6250,198,0,0,0,7,0
8252,1374,30792,1836,7620,191,806
13231,0,0,0,0,0,1030
6189,792,8773,1261,4119,207,1673
0,0,0,0,0,0,0
2964,223,18779,958,1076,0,468
16587,2161,40677,3190,16126,137,7185
13099,2113,0,0,0,221,0
5256,129,0,0,98,0,42
0,0,0,0,0,0,0
12905,0,38380,5751,20299,0,1385
19418,6109,76653,9784,38183,721,10057
7948,465,51075,7763,721,26,2860
2492,0,7452,537,1446,0,0
5954,1087,0,0,0,215,0
2424,387,25023,2411,2962,88,1251
0,0,0,0,0,0,0
14246,1540,95200,10897,5219,479,9230
3512,334,0,0,202,37,0
4881,585,14455,1279,5205,0,2771
18306,3360,77293,16653,16644,565,5516
9016,0,19706,1216,10338,0,1622
3917,73,15946,4629,7993,16,2234
19032,2080,61347,5718,19254,279,2789
13630,1387,12540,2747,852,138,4011
1820,518,13042,317,1320,187,593
8303,1829,0,3109,0,88,3061
16376,3084,80214,3422,6277,341,241
4498,188,26399,0,4484,0,95
13936,1594,22925,375,1872,284,1240
19682,0,60350,3506,26549,0,1860
16161,1531,0,0,0,90,0
21696,742,202216,17752,11673,125,0
11086,2552,68959,11179,33789,286,6162
15790,2066,0,0,0,493,0
8722,1009,13998,3113,5338,309,1982
10693,1321,45238,6298,1970,109,0
1811,280,6642,888,4816,19,1809
10275,1746,0,0,0,152,0
0,0,0,0,0,0,0
11120,2132,23063,3632,9276,434,0
23372,3178,0,0,0,627,1464
7470,568,25250,5791,13198,72,2252
0,0,0,0,0,0,0
29069,0,115346,30841,73217,98,21556
3136,301,0,24,0,47,114
8425,982,7201,1946,5814,117,980
11170,2737,71333,8202,10368,1015,2117
12501,229,108730,434,45077,77,0
8434,1271,0,0,0,317,1
11873,195,14784,2956,0,0,440
10719,2600,0,0,0,0,173
9631,64,19624,0,7111,19,296
7339,1411,0,0,0,0,291
6633,1875,52944,9305,4105,35,250
505,65,1984,325,321,3,0
23781,4721,52117,10119,9020,1513,7433
11458,1453,66177,2641,40076,366,1519
0,0,0,0,0,0,0
1777,225,6629,0,1380,46,0
7781,532,52795,7058,0,19,1551
3661,947,27236,2987,15191,0,1432
23615,2421,131453,10857,56129,0,10275
10427,1909,73727,9520,0,114,0
18276,1080,29095,576,0,0,443
18949,0,184814,4265,14536,9,1943
14048,944,23434,3809,3993,86,0
0,0,0,0,0,0,0
14139,2979,0,0,0,414,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
12653,1526,0,0,2998,122,1450
8804,647,51156,373,19754,110,978
4491,806,388,56,189,0,10
12844,760,26693,1910,10072,65,3188
4615,544,28605,2929,20007,44,0
11474,1638,0,0,0,0,0
2230,195,0,0,0,14,0
194,6,370,18,122,0,8
6584,358,5199,623,632,0,138
4085,432,768,12,401,45,244
1579,84,4466,212,799,0,340
5780,288,18587,1335,2599,0,82
7804,910,42462,4366,0,120,2347
10486,660,47524,463,1219,128,575
5504,800,0,0,0,84,127
0,0,0,0,0,0,0
9893,1277,12317,1302,3177,125,0
0,0,0,0,0,0,0
12097,1167,15782,2041,755,72,1360
9284,112,10996,1554,3764,14,1246
8728,488,0,1304,0,65,13
12351,1822,33828,7420,7171,37,1735
14679,2322,48753,8125,4071,313,2083
808,18,3670,0,796,1,157
4398,396,23155,708,4319,0,760
12402,174,2623,176,513,13,85
1628,0,13675,1784,0,0,123
10964,1936,57524,6119,0,50,0
3213,202,17316,1066,0,20,300
9840,268,14341,3177,4638,24,3499
11231,841,36842,4291,0,71,40
10874,1741,53503,2099,16196,546,925
0,0,0,0,0,0,0
0,0,0,0,0,0,0
12972,2732,22349,3296,8439,11,5926
4836,627,26544,2398,10456,79,0
8709,1602,0,0,120,135,211
6170,363,30100,5644,5892,115,0
19260,2798,0,0,0,171,0
19828,868,75050,0,0,285,0
13697,2611,0,0,0,74,0
13889,194,34653,10128,4147,0,0
18486,3276,148408,35344,30193,781,0
1275,13,2073,81,107,3,7
8647,670,69663,5115,0,178,1612
0,0,0,0,0,0,0
4004,414,9996,1500,930,136,908
11517,1869,5721,0,1808,135,898
10934,21,62445,6344,24720,1,5547
7323,867,22522,3401,7786,182,3768
4394,155,13568,2011,4255,15,1089
10827,693,56233,5438,13704,31,0
9274,0,29305,578,0,0,0
7349,661,0,0,0,50,0
14300,3110,61119,13027,10535,0,178
8428,1239,69498,14190,0,0,2963
19458,2956,43767,10123,0,0,7201
12871,1850,42164,6705,0,240,1916
0,0,0,0,0,0,0
17101,283,25752,3367,2198,84,0
1052,127,2596,738,988,9,4
0,0,0,0,0,0,0
4437,0,5331,0,0,0,0
11328,1286,77059,7640,28548,234,5706
15666,538,37407,5994,0,64,2122
0,0,0,0,0,0,0
3763,354,0,0,0,114,0
7945,755,15067,634,11211,147,4192
5614,0,0,0,0,0,0
32491,5994,0,0,0,0,0
11738,2117,0,0,0,0,1923
10360,1575,146366,22131,0,311,10926
1727,216,10418,1044,1194,8,0
0,0,0,0,0,0,0
7892,702,43887,7743,29497,100,2745
0,0,0,0,0,0,0
7526,460,35470,2975,0,81,463
8661,1306,86884,11969,29383,196,2821
27251,3625,59389,9334,12540,674,8916
20166,2677,5828,1546,1082,1183,1024
4325,507,11220,3284,2141,104,2330
11890,1965,32659,0,307,0,438
5282,879,12639,0,3573,127,113
18172,0,132515,19162,38351,0,7987
2538,364,5709,794,608,73,948
13350,2088,57562,7229,28542,389,0
14233,2161,23377,1350,2628,92,30
3492,460,14225,572,1838,0,0
5794,0,18598,231,9674,0,313
0,0,0,0,0,0,0
14277,1930,44160,2141,205,138,3256
5732,1078,17875,2111,5739,62,1065
12903,0,65286,0,960,0,0
13090,913,56139,5733,1740,257,1155
4190,552,34797,6363,0,0,1423
0,0,0,0,0,0,0
4321,35,0,0,0,7,0
21433,1077,35111,1985,5504,152,2117
6666,391,7301,1035,829,148,0
5542,575,0,0,0,109,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
17413,47,85256,10912,32088,12,3117
16878,188,44310,2479,10455,14,1177
2054,0,10599,1765,4247,0,1020
3117,544,24668,6431,5860,51,3883
12742,2434,66203,11210,18002,67,8333
869,96,0,0,62,17,7
0,0,0,0,0,0,0
5427,495,21601,0,7753,0,902
13076,764,69424,0,16295,53,897
4191,863,0,0,2883,141,179
4598,604,15351,3213,2837,107,654
0,0,0,0,0,0,0
5870,0,23275,274,7331,0,307
229,15,497,22,32,0,12
12949,233,88661,10825,34309,0,6272
6441,962,0,0,0,212,739
12667,1181,27383,0,14575,261,1642
12064,2678,25221,782,7535,278,5365
1144,165,3001,0,1358,26,81
0,0,0,0,0,0,0
5388,670,3310,0,317,150,159
5033,591,0,0,1660,35,0
4245,0,7251,1211,1228,0,1385
2289,241,0,0,0,0,0
15630,1098,101000,1946,11225,52,0
5437,907,21891,0,2260,81,143
13192,619,35111,2599,270,16,1225
3527,728,6718,775,958,120,0
9644,1160,41707,10184,0,310,2241
4071,210,0,0,0,19,34
7778,816,33591,3885,0,0,779
8221,1283,55047,4585,0,244,1300
3170,140,26948,2300,0,27,0
0,0,0,0,0,0,0
13480,0,46462,10204,16627,0,5859
6535,235,20659,3796,0,20,0
11752,0,43905,9178,0,0,1987
15344,2342,52794,9119,29101,335,12221
1681,67,6230,0,2735,6,24
0,0,0,0,0,0,0
5820,0,54780,2654,29213,0,3376
15969,2046,0,0,0,457,169
514,15,1713,510,169,2,149
13766,1538,86623,14020,14038,563,1459
6225,0,37974,0,6791,0,0
9731,0,34049,5931,15158,0,3244
25985,0,11656,46,2953,0,0
5575,164,0,0,0,16,89
4231,422,0,471,0,0,154
2126,170,11685,1295,297,0,459
8630,499,12083,1607,5933,84,1361
7144,941,0,0,0,43,21
2528,160,6236,1073,0,20,32
7643,57,16502,1043,8720,0,717
2691,278,9863,0,1195,0,114
0,0,0,0,0,0,0
7208,1147,29434,0,0,242,0
5855,422,0,0,2502,141,4
5348,660,33384,0,0,29,0
0,0,0,0,0,0,0
6535,379,0,0,389,62,64
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6015,822,22385,707,3587,49,1224
8420,1186,0,0,0,261,0
0,0,0,0,0,0,0
12352,848,40053,7266,4864,118,756
8948,305,31650,2709,17665,45,0
6233,726,15056,737,4054,7,582
17617,541,133081,21217,0,31,3596
7617,0,37093,5881,4281,0,2678
9140,1487,42248,4234,11037,32,1358
15276,0,0,0,0,0,0
2996,498,5316,440,2487,103,195
12239,490,20301,0,4828,0,990
16169,1481,1882,0,870,110,554
6362,683,0,0,0,93,0
41869,6880,152174,14438,0,0,10273
13764,1461,42287,0,11676,226,1469
10277,2406,1543,58,382,658,1211
3559,812,10399,2199,0,36,1613
0,0,0,0,0,0,0
7450,1667,47359,860,18998,249,5593
2850,363,12078,1419,4133,0,2264
14447,734,49954,7537,12853,45,1366
15807,2945,52188,2175,0,197,0
3229,381,24822,2215,0,17,603
0,0,0,0,0,0,0
4700,666,55256,5775,14059,211,4670
8030,0,7912,0,861,0,0
11513,777,20989,2520,320,45,0
21814,2072,152351,17137,106503,283,3122
13318,2673,72912,7497,36821,0,15149
0,0,0,0,0,0,0
18895,2485,84523,12091,35780,464,6913
0,0,0,0,0,0,0
9230,276,48950,3334,29878,82,1287
8401,1080,36995,0,31569,0,3517
3814,191,10739,1953,0,2,1190
6242,456,31135,2621,0,56,1572
0,0,0,0,0,0,0
6406,775,6063,32,1094,113,496
1144,127,8168,1153,3331,14,989
4910,514,3624,150,1571,192,0
15206,1605,23425,0,0,237,82
8005,510,35097,3630,11604,156,4320
13334,1930,15900,2118,2013,0,1694
16351,1101,76404,11245,0,0,2253
10062,522,59873,3848,41071,0,11817
7346,438,11355,57,0,0,62
13193,2395,40418,0,20280,270,2055
6967,79,41347,560,15349,0,2164
10580,0,0,0,0,0,0
13988,0,27630,5417,2623,0,886
7863,412,30669,1143,15725,53,1931
3692,0,8783,4,2465,0,95
0,0,0,0,0,0,0
3395,258,17904,3103,8481,12,1345
19409,802,78743,4386,0,0,0
4880,524,11330,0,7055,164,494
12491,0,40688,5754,295,0,1619
2131,77,0,0,0,4,0
12777,2617,104467,14969,0,636,1256
5863,889,11244,738,3635,190,1967
8298,569,0,0,6817,73,0
5252,412,0,0,0,0,184
9517,1458,50683,8411,31873,164,6994
6915,818,0,0,0,69,806
3712,63,5961,877,3655,19,44
17984,1459,29884,0,0,733,0
1004,184,402,76,199,24,135
9047,648,7126,0,3983,129,352
1773,171,5048,171,946,0,6
16231,0,934,0,537,0,84
17662,1884,4090,861,1647,396,1469
2979,177,4626,429,642,37,109
3617,310,22776,1562,9952,53,0
20887,1282,55180,12567,15259,224,0
11425,1307,52931,122,23003,445,4805
14037,1619,21301,0,9070,322,2052
2381,313,0,0,0,36,0
18692,760,113182,9160,25199,200,4135
1570,0,1748,98,772,0,0
10027,841,39324,346,10038,0,1531
26724,0,195555,19353,68835,0,17595
9554,410,10847,731,891,0,881
0,0,0,0,0,0,0
7768,36,42647,3164,12735,6,0
0,0,0,0,0,0,0
9574,0,0,0,0,0,0
7676,562,0,0,7,41,418
10697,1357,53163,10273,4000,263,4688
9635,2182,33861,1104,11014,437,0
3937,644,36947,1564,0,152,159
581,59,3794,168,454,13,104
0,0,0,0,0,0,0
0,0,0,0,0,0,0
9218,0,58994,6100,0,0,2648
295,0,1341,528,0,0,162
3691,1320,21759,1974,15324,277,2648
280,57,2263,320,686,10,249
12003,508,51965,0,3237,28,20
0,0,0,0,0,0,0
9059,719,33517,9523,0,176,0
23806,6077,109497,20380,37833,0,5377
2658,0,12499,1829,3284,0,2233
9088,554,4787,235,2084,127,681
5565,622,0,0,0,80,0
671,44,0,0,143,4,42
0,0,0,0,0,0,0
11803,355,27034,3829,11623,67,0
1795,153,9420,1254,5068,0,1522
1487,112,3667,0,0,0,0
7560,1618,25544,3250,3260,0,305
17312,506,101570,1757,28698,118,2285
926,107,1206,198,279,28,156
17704,1087,78459,13174,23158,119,5300
15556,555,107467,8451,46077,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
9101,67,12089,3740,0,12,2004
736,0,0,0,0,0,0
8550,1154,75677,621,21495,148,973
17854,1221,4728,613,1728,0,2020
9342,996,11681,1145,8219,47,1198
6634,214,4681,844,1722,0,0
522,0,3394,311,696,0,217
11197,693,61340,8653,8592,0,2180
14234,969,0,0,0,255,277
14006,2244,142183,13526,84273,272,11379
7654,0,14893,3061,5395,0,1224
6306,160,20652,0,0,29,0
2791,0,16635,605,5389,0,619
2249,183,8816,482,1521,32,1080
12013,1090,77644,7466,35402,239,8250
9203,873,41593,6150,9112,107,1296
14407,2965,74133,9422,0,587,8419
0,0,0,0,0,0,0
40175,7078,0,0,0,503,3744
14265,4279,25588,0,0,931,0
16267,318,106446,18416,33564,92,12092
6765,1295,2742,379,606,313,752
0,0,0,0,0,0,0
11776,0,79678,0,36905,0,3977
0,0,0,0,0,0,0
9302,0,28104,0,6086,0,904
0,0,0,0,0,0,0
8396,778,19787,1414,7360,0,3441
16121,2325,74694,0,0,553,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2039,139,8213,1368,983,32,0
406,73,4101,399,1640,1,978
9868,1047,47692,2749,2353,152,1910
1282,115,6395,242,1190,36,112
0,0,0,0,0,0,0
8416,0,76576,15182,19515,0,8503
9570,1678,50286,16575,31589,552,16000
11329,386,48042,2908,24652,0,6060
7566,852,0,229,0,98,0
13206,1768,101261,6150,47534,507,12007
160,0,69,7,43,0,3
15066,1503,24789,3816,13930,32,7255
2775,211,3924,67,1794,6,0
13033,1347,0,0,0,249,0
13595,1459,48411,6751,15151,177,5542
9288,1118,0,8,642,222,0
2897,697,6151,1290,2156,0,1592
0,0,0,0,0,0,0
0,0,0,0,0,0,0
20549,0,0,0,0,0,0
23651,0,7070,319,4294,0,0
13235,509,18162,0,8192,0,1511
10705,814,95788,20188,15327,77,3195
0,0,0,0,0,0,0
15653,1726,130444,10272,17471,115,7814
7254,1189,8869,353,1580,172,1526
12866,209,5325,479,207,0,0
1799,272,6129,726,456,38,327
0,0,0,0,0,0,0
14852,2214,0,0,7265,525,0
10248,0,16544,1412,4376,0,646
8529,1208,52843,9090,16309,119,0
0,0,0,0,0,0,0
10006,818,23914,3049,14447,178,2771
0,0,0,0,0,0,0
2177,159,7210,314,3272,27,280
2840,233,34060,4826,1589,36,3669
8046,440,32917,3859,0,34,3826
1464,126,254,28,80,33,22
16197,0,25490,1795,7696,0,0
6349,7,0,0,0,2,0
1610,150,895,45,0,21,176
3807,185,0,0,0,30,0
4602,0,0,0,0,0,0
6285,266,35208,4821,8780,52,2040
8800,1855,0,0,0,0,0
4632,0,3777,561,2335,0,244
13751,548,27969,633,7581,107,0
11678,1952,71128,4217,21149,0,0
13319,1320,0,0,382,283,536
14240,789,53537,0,16008,112,0
7610,1176,42744,1852,13318,482,0
8704,3099,10363,1829,2066,672,611
9663,1171,26195,4115,636,0,3587
4443,375,22849,4583,5487,0,3109
9184,977,54432,7882,8120,18,6641
4415,0,1676,225,900,0,31
12802,4207,0,0,0,489,0
15499,2713,21755,0,744,217,136
4082,746,11861,498,869,3,506
1944,356,1573,330,1,53,36
5445,322,2642,260,362,4,396
0,0,0,0,0,0,0
20948,2844,0,0,0,157,1896
19606,374,144333,2157,65629,0,19682
5591,499,13460,1966,586,159,298
15681,1524,65951,9921,28819,207,10533
11949,269,49941,11446,0,9,8109
8022,1244,0,0,366,26,729
13815,459,89301,14987,22183,43,1708
4578,0,0,360,0,0,0
0,0,0,0,0,0,0
14371,1579,55122,4552,19650,0,8681
5428,646,43207,7759,0,11,3599
7144,719,16942,3354,1932,4,0
0,0,0,0,0,0,0
7265,1123,43650,4189,30785,156,0
0,0,0,0,0,0,0
7814,0,40524,0,21800,3,983
15196,3299,118918,9390,0,518,6408
5482,45,11324,0,2028,16,172
12878,839,59217,853,42202,253,8764
5642,0,16945,4461,5276,0,3897
0,0,0,0,0,0,0
15448,1618,0,0,0,203,734
6459,0,0,0,0,0,0
770,101,2322,70,1058,0,82
8450,2385,42774,7222,0,287,5108
12538,1631,83658,15418,27998,41,0
19351,3987,57751,9501,4399,50,9829
166,15,97,18,52,2,19
12525,1325,23056,497,6396,139,0
6197,307,0,1146,0,0,522
12678,967,375,31,36,141,58
0,0,0,0,0,0,0
14310,0,69533,9698,22190,0,0
21061,0,33408,11273,4791,0,3146
0,0,0,0,0,0,0
5379,0,40195,2079,1667,0,640
8563,925,39837,2214,10236,13,2254
7225,1112,0,0,0,0,605
10994,0,44826,6443,17535,0,5774
11485,250,59616,6109,6576,42,2505
8985,1914,35675,6721,12605,380,7077
10956,0,35161,8317,12465,0,830
6747,518,16647,557,4783,6,1603
22559,2603,143068,0,31727,300,0
254,39,1236,149,423,11,69
12998,2226,27134,3157,7210,225,5227
7638,905,1249,85,0,130,572
5481,0,29004,2112,10283,0,3469
10634,466,36940,7922,9213,0,3607
0,0,0,0,0,0,0
3777,0,15915,0,3198,0,67
3606,435,5159,1184,49,4,971
8950,1047,58281,4212,0,13,0
10174,0,0,0,0,0,0
6272,811,9079,1558,1160,161,253
340,0,447,0,327,0,0
0,0,0,0,0,0,0
14672,1505,10287,1294,4093,87,833
22021,4635,153486,0,35467,261,4039
11567,1743,61174,11650,19581,471,10268
8416,1594,0,0,0,0,0
7172,0,20796,1054,9883,0,0
0,0,0,0,0,0,0
13944,315,45114,6391,21037,0,6944
5385,0,31660,4606,6572,0,0
13657,1725,92661,0,44400,589,3860
0,0,0,0,0,0,0
9163,77,4868,397,0,9,81
12017,1602,48932,7060,0,252,7830
10624,469,43574,0,13040,0,670
0,0,0,0,0,0,0
8347,253,49146,0,18878,66,1613
7992,1110,96065,0,0,331,0
15452,1537,42975,841,17983,270,5324
11233,1779,9485,3137,2958,314,1587
21474,0,3609,351,910,0,0
243,18,303,5,100,0,29
0,0,0,0,0,0,0
9187,689,58933,9869,31275,145,3170
27648,1774,0,0,0,347,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
12753,109,75071,435,32995,8,4286
1878,108,11557,1051,1706,20,145
529,41,1909,430,301,3,60
8653,1466,30662,3922,6133,142,3126
18404,2169,111819,17764,38917,151,21663
13977,0,51034,3468,27455,0,10721
2531,211,19241,292,9823,41,1275
13150,1321,36877,3934,13250,641,5919
23341,2849,63312,16994,23546,544,0
21391,3020,49520,2127,0,572,0
11699,0,56746,3286,1677,0,1031
7516,839,25655,3497,2328,10,2745
0,0,0,0,0,0,0
10367,748,19637,5415,5389,201,2135
0,0,0,0,0,0,0
9749,1579,9054,0,1906,0,1550
7901,310,23333,804,4014,42,513
6125,394,7461,0,2302,36,173
11366,1423,27894,3950,3147,159,2439
6285,111,25318,4577,3379,5,1567
4798,489,32353,5140,21174,144,0
10979,1036,17289,1400,0,87,327
20232,3619,38697,4276,13992,455,8842
7857,95,44675,10434,21973,10,6630
9323,607,66373,10882,0,4,0
9936,1057,49372,3978,2062,0,3855
5644,90,28610,3897,7972,0,0
20916,2506,57553,0,20473,183,2961
11412,1263,34498,3593,22381,27,0
8697,95,14151,949,4032,7,0
7543,163,9292,1759,1368,27,249
0,0,0,0,0,0,0
