
hepatotoxic : Liver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
inr : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
bleeding : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
flatulence : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
alcohol : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
encephalopathy : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
urea : notLiver-related, notGastrointestinal, notInflammatory, Metabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
ascites : notLiver-related, notGastrointestinal, notInflammatory, Metabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hepatomegaly : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hepatalgia : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
density : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
ESR : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
alt : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
ast : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
amylase : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
ggtp : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
cholesterol : notLiver-related, notGastrointestinal, notInflammatory, Metabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hbsag : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hbsag_anti : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
anorexia : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
nausea : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
spleen : notLiver-related, Gastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
consciousness : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
spiders : notLiver-related, notGastrointestinal, Inflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
jaundice : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
albumin : Liver-related, notGastrointestinal, notInflammatory, Metabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
edge : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
irregular_liver : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hbc_anti : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hcv_anti : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
palms : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
hbeag : Liver-related, notGastrointestinal, notInflammatory, notMetabolic, notMiscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
carcinoma : notLiver-related, notGastrointestinal, notInflammatory, notMetabolic, Miscellaneous, nothepatitis, notCirrhosis, notSteatosis, notfibrosis, notjaundice, notbilirubin, notphosphatase, notalt, notast, notamylase, notggtp, notalbumin, nothbsag, nothbsag_anti, nothbeag, nothcv_anti, nothbc_anti, notgallstones, notsurgery, nottransfusion, notinjections, notfatigue, notupper_pain, notpain_ruq, notpressure_ruq, notflatulence, notanorexia, notnausea, notspleen, notle_cells, notjoints, notpain, notedema, notplatelet, notinr, notbleeding, notESR, notama, notspiders, notdiabetes, notobesity, nottriglycerides, notcholesterol, noturea, notascites, notedge, notalcoholism, nothospital, notsex, notage, notama, notconsciousness, notcarcinoma, notpalms
